,Type,Year,Lat,Long
552,Robbery,2017,42.37750247,-71.03916237
553,Homicide,2017,42.32692112,-71.05841861
554,Robbery,2017,42.32902469,-71.08341505
555,Robbery,2017,42.3053786,-71.06323044
556,Robbery,2017,42.32362958,-71.06867761
558,Robbery,2017,42.31925844,-71.10003222
559,Robbery,2017,42.33168201,-71.06798742
560,Robbery,2017,42.30876959,-71.07460717
561,Robbery,2017,42.33767953,-71.07529119
562,Robbery,2017,42.33152148,-71.07085307
563,Robbery,2017,42.33444882,-71.0757421
564,Robbery,2017,42.35997967,-71.05474135
566,Robbery,2017,42.35942556,-71.05288819
567,Robbery,2017,42.32270922,-71.09932317
568,Robbery,2017,42.35683318,-71.05842905
569,Robbery,2017,42.35661814,-71.05193863
571,Robbery,2017,42.31498564,-71.08194639
572,Robbery,2017,42.27968299,-71.09286048
573,Robbery,2017,42.32284485,-71.10384777
574,Robbery,2017,42.32246336,-71.10757917
575,Robbery,2017,42.28323156,-71.06415725
576,Robbery,2017,42.33361,-71.07337
577,Robbery,2017,42.30028028,-71.06015261
578,Robbery,2017,42.35942556,-71.05288819
579,Robbery,2017,42.34877575,-71.09606805
580,Robbery,2017,42.28799062,-71.07448379
581,Robbery,2017,42.27653731,-71.0933951
582,Robbery,2017,42.33928728,-71.08032619
583,Robbery,2017,42.36394509,-71.05942841
584,Robbery,2017,42.31901925,-71.05325659
585,Robbery,2017,42.36240281,-71.06954652
586,Robbery,2017,42.34516984,-71.07849196
588,Robbery,2017,42.32004176,-71.06104118
589,Robbery,2017,42.31489621,-71.06043028
590,Robbery,2017,42.3160569,-71.07820017
591,Robbery,2017,42.31432112,-71.07900586
592,Robbery,2017,42.32004176,-71.06104118
593,Robbery,2017,42.32795652,-71.10526297
594,Robbery,2017,42.31514179,-71.06704709
595,Robbery,2017,42.3019742,-71.08383388
596,Robbery,2017,42.30254239,-71.0595669
597,Robbery,2017,42.30878855,-71.09055618
598,Robbery,2017,42.29461061,-71.16029622
600,Robbery,2017,42.33638389,-71.09869457
601,Robbery,2017,42.35595391,-71.13852468
602,Robbery,2017,42.30340172,-71.0593763
603,Robbery,2017,42.32441819,-71.10493344
604,Robbery,2017,42.27732507,-71.09483139
605,Robbery,2017,42.37781774,-71.05187639
606,Robbery,2017,42.3791237,-71.0280821
607,Robbery,2017,42.335482,-71.07586449
608,Robbery,2017,42.35165733,-71.06425694
609,Robbery,2017,42.3353741,-71.0783156
610,Robbery,2017,42.34492261,-71.08109885
611,Robbery,2017,42.26922388,-71.12085347
612,Robbery,2017,42.27230624,-71.06721386
613,Robbery,2017,42.3791237,-71.0280821
614,Robbery,2017,42.28866198,-71.06130524
615,Robbery,2017,42.3523119,-71.0637051
616,Robbery,2017,42.35512339,-71.0608798
617,Robbery,2017,42.31136188,-71.0644231
618,Robbery,2017,42.31136188,-71.0644231
619,Robbery,2017,42.27980181,-71.16196326
620,Robbery,2017,42.35251005,-71.06719166
621,Robbery,2017,42.35241815,-71.06525499
622,Homicide,2017,42.29481426,-71.07200871
623,Robbery,2017,42.268024,-71.09301057
624,Robbery,2017,42.31238668,-71.07086154
625,Robbery,2017,42.30183841,-71.06127819
627,Robbery,2017,42.31461036,-71.09947709
628,Robbery,2017,42.336112,-71.04665434
629,Robbery,2017,42.28519774,-71.0677511
630,Robbery,2017,42.30576093,-71.08377157
631,Robbery,2017,42.35594239,-71.06258333
632,Robbery,2017,42.29906325,-71.11183411
633,Robbery,2017,42.34980175,-71.07840978
634,Robbery,2017,42.34674238,-71.08970931
635,Robbery,2017,42.3452743,-71.0698355
636,Robbery,2017,42.34587157,-71.08938851
638,Robbery,2017,42.31202047,-71.08851632
639,Robbery,2017,42.28393145,-71.11733126
640,Robbery,2017,42.32752693,-71.05541255
641,Robbery,2017,42.31089986,-71.08007661
642,Homicide,2017,42.33168201,-71.06798742
643,Robbery,2017,42.34674238,-71.08970931
644,Robbery,2017,42.30609597,-71.06425709
646,Robbery,2017,42.35594239,-71.06258333
647,Robbery,2017,42.31424838,-71.07811402
648,Robbery,2017,42.30762176,-71.07752554
649,Robbery,2017,42.32804842,-71.07651895
650,Robbery,2017,42.35089055,-71.0777336
651,Robbery,2017,42.35877445,-71.05157653
652,Robbery,2017,42.32004176,-71.06104118
653,Robbery,2017,42.3721588,-71.03852378
654,Robbery,2017,42.31059167,-71.07448205
655,Robbery,2017,42.30511791,-71.08019088
656,Robbery,2017,42.30021944,-71.06311002
657,Robbery,2017,42.268024,-71.09301057
658,Robbery,2017,42.31167532,-71.08586299
659,Robbery,2017,42.33210843,-71.07014395
660,Robbery,2017,42.30209443,-71.06575183
661,Robbery,2017,42.32513051,-71.09940815
662,Robbery,2017,42.30480488,-71.06421426
663,Robbery,2017,42.30974763,-71.06543939
